case:concept:name	CLUS_KME	CLUS_AGG	CLUS_ACT
10578_TRT18	0.1053	0.2941	0.3333
1057_TRT11	0.3158	0.2941	0.3333
1057_TRT20	0.6316	0.5882	0.25
1057_TRT21	0.5263	0.8235	0.9167
1057_TRT22	0.1316	0.7059	0.9167
1057_TRT7	0.1053	0.0588	0.9167
10580_TRT18	0.1053	0.2941	0.0833
10581_TRT18	0.6316	0.2353	0.3333
1058_TRT11	0.3421	0.5882	0.1667
1058_TRT15	0.1316	0.0588	0.5
1058_TRT18	0.6316	0.2353	0.3333
1058_TRT20	0.8684	0.5882	0.25
1058_TRT21	0.5263	0.8235	0.9167
1058_TRT22	0.1316	0.7059	0.9167
10591_TRT18	0.1053	0.1176	1.0
10593_TRT18	0.6316	0.2353	0.9167
10594_TRT18	0.6316	0.2353	0.3333
10595_TRT18	0.1053	0.1176	1.0
1059_TRT12	0.8421	0.8824	0.25
1059_TRT14	0.1316	0.1176	0.1667
1059_TRT15	0.1316	0.2941	0.1667
1059_TRT20	0.7105	0.5882	0.4167
1059_TRT21	0.0789	0.8235	0.3333
1059_TRT22	0.1316	0.7059	0.9167
1059_TRT7	0.1053	0.1176	0.25
105_TRT18	0.1053	0.0588	0.25
105_TRT20	0.8684	0.5882	0.8333
105_TRT22	0.1316	0.1176	0.6667
105_TRT7	0.1053	0.1176	0.9167
10603_TRT18	0.1053	0.2353	0.9167
10606_TRT18	0.1053	0.2353	0.5
10607_TRT18	0.3421	0.3529	0.5
10608_TRT18	0.3158	0.5882	0.5833
1060_TRT11	0.3421	0.5882	0.0833
1060_TRT14	0.0	0.2941	0.4167
1060_TRT21	0.0789	0.8235	0.3333
1060_TRT22	0.2895	0.7059	0.9167
1060_TRT8	0.8158	0.5882	0.6667
10611_TRT18	0.8158	0.5882	0.4167
10617_TRT18	0.3158	0.5882	0.5833
10619_TRT18	0.7895	0.5882	0.8333
1061_TRT11	0.2632	0.4706	0.1667
1061_TRT21	0.0789	0.8235	0.3333
10620_TRT18	0.7895	0.5882	0.8333
10623_TRT18	0.7895	0.5882	0.8333
10624_TRT18	0.7895	0.5882	0.8333
10625_TRT18	0.7895	0.5882	0.8333
10626_TRT18	0.3158	0.5882	0.5833
10627_TRT18	0.7895	0.5882	0.8333
10629_TRT18	0.7895	0.5882	0.8333
1062_TRT12	0.8158	0.6471	0.6667
1062_TRT21	0.0789	0.8235	0.3333
1062_TRT22	0.8158	0.7059	0.5
10630_TRT18	0.7895	0.5882	0.8333
10635_TRT18	0.8158	0.5882	0.5833
10636_TRT18	0.3158	0.5882	0.5833
10637_TRT18	0.5263	0.5882	0.4167
1063_TRT12	1.0	0.6471	0.6667
1063_TRT21	0.5263	0.8235	0.9167
1063_TRT7	0.1053	0.2941	0.25
10640_TRT18	0.2895	0.5882	0.8333
10641_TRT18	0.7895	0.5882	0.4167
10644_TRT18	0.1053	0.1176	1.0
10646_TRT18	0.2895	0.5882	0.8333
10649_TRT18	0.7105	1.0	0.75
1064_TRT11	0.5526	0.4706	0.1667
1064_TRT15	0.0	0.1765	0.0833
1064_TRT18	0.6316	0.2353	1.0
1064_TRT20	0.7105	0.5294	0.4167
1064_TRT22	0.1316	0.7059	0.9167
10651_TRT18	0.7895	0.5882	0.5833
10652_TRT18	0.8158	0.5882	0.75
10653_TRT18	0.7895	0.5882	0.5833
10654_TRT18	0.6316	0.2353	0.5833
10655_TRT18	0.6316	0.2353	0.25
10656_TRT18	0.1053	0.4706	0.5
1065_TRT11	0.2632	0.4706	0.3333
1065_TRT12	0.8421	0.8824	1.0
1065_TRT15	0.2632	0.4706	0.0833
1065_TRT21	0.7105	0.8235	0.5
1065_TRT22	0.1316	0.7059	0.9167
1065_TRT7	0.1053	0.0588	0.25
10661_TRT18	0.1053	0.2353	0.25
10662_TRT18	0.1053	0.0	0.9167
10664_TRT18	0.6316	0.2353	0.0
10667_TRT18	0.6316	0.2353	0.9167
1066_TRT15	0.3947	0.4706	0.4167
1066_TRT18	0.1053	0.1176	0.25
1066_TRT21	0.7105	0.5882	0.9167
1066_TRT22	0.1316	0.7059	0.6667
1066_TRT8	0.8158	0.5882	0.3333
